 mode_no k freq damp filt1 filt2 filt3 
 137   0.1200000E+00   0.6654292E-01  -0.4629908E-03   0.4929721E-18   0.0000000E+00   0.3750462E-08
 152   0.1200000E+00  -0.4768147E-01  -0.2462855E-02   0.4525555E-16   0.0000000E+00   0.3665736E-08
 165   0.1200000E+00  -0.3362362E-01  -0.5584291E-02   0.5854323E-15   0.0000000E+00   0.9467661E-08
 168   0.1200000E+00   0.3120320E-01  -0.1635931E-02   0.6709992E-16   0.0000000E+00   0.3389037E-08
 179   0.1200000E+00  -0.2485891E-01  -0.8916386E-02   0.7454238E-15   0.0000000E+00   0.1352420E-07
 188   0.1200000E+00   0.1858816E-01  -0.3157667E-02   0.7526652E-15   0.0000000E+00   0.1231011E-07
 191   0.1200000E+00  -0.1789385E-01  -0.1176202E-01   0.2221735E-15   0.0000000E+00   0.8683225E-08
 201   0.1200000E+00  -0.1174427E-01  -0.1392671E-01   0.1654959E-16   0.0000000E+00   0.1852257E-08
 206   0.1200000E+00   0.1170376E-01  -0.4667679E-02   0.3212153E-14   0.0000000E+00   0.2664551E-07
 213   0.1200000E+00  -0.5995841E-02  -0.1536969E-01   0.4396110E-12   0.0000000E+00   0.4788722E-08
 222   0.1200000E+00   0.6953051E-02  -0.5893639E-02   0.2264719E-14   0.0000000E+00   0.1684401E-07
 235   0.1200000E+00   0.3125887E-02  -0.6712559E-02   0.5771055E-13   0.0000000E+00   0.1687145E-07
 122   0.1400000E+00  -0.1000061E+00  -0.5521655E-03   0.5771215E-17   0.0000000E+00   0.1313376E-08
 131   0.1400000E+00   0.7743725E-01  -0.4656764E-03   0.4339872E-17   0.0000000E+00   0.1407578E-08
 146   0.1400000E+00  -0.5562465E-01  -0.2480241E-02   0.4695538E-16   0.0000000E+00   0.3329400E-08
 159   0.1400000E+00  -0.3951091E-01  -0.5713926E-02   0.9159881E-16   0.0000000E+00   0.4418646E-08
 162   0.1400000E+00   0.3637716E-01  -0.1642067E-02   0.4559365E-17   0.0000000E+00   0.6426732E-08
 173   0.1400000E+00  -0.2970160E-01  -0.9315801E-02   0.1051019E-15   0.0000000E+00   0.6921211E-08
 182   0.1400000E+00   0.2178304E-01  -0.3185900E-02   0.1526842E-15   0.0000000E+00   0.9768332E-08
 183   0.1400000E+00  -0.2202622E-01  -0.1250290E-01   0.6296765E-16   0.0000000E+00   0.1112360E-07
 194   0.1400000E+00  -0.1531956E-01  -0.1502803E-01   0.1119006E-16   0.0000000E+00   0.5043314E-08
 201   0.1400000E+00   0.1394423E-01  -0.4763699E-02   0.1298418E-14   0.0000000E+00   0.2267128E-07
 206   0.1400000E+00  -0.9105641E-02  -0.1683266E-01   0.2290108E-16   0.0000000E+00   0.4875806E-09
 217   0.1400000E+00   0.8655540E-02  -0.6104005E-02   0.1660277E-14   0.0000000E+00   0.3645208E-07
 230   0.1400000E+00   0.4497931E-02  -0.7066886E-02   0.4016901E-15   0.0000000E+00   0.1876390E-07
 116   0.1600000E+00  -0.1139921E+00  -0.5562838E-03   0.2064823E-17   0.0000000E+00   0.6832841E-09
 127   0.1600000E+00   0.8825741E-01  -0.4685718E-03   0.8327018E-17   0.0000000E+00   0.2329088E-08
 142   0.1600000E+00  -0.6353986E-01  -0.2495113E-02   0.2645371E-16   0.0000000E+00   0.7722315E-08
 155   0.1600000E+00  -0.4537431E-01  -0.5816803E-02   0.2636370E-16   0.0000000E+00   0.4386776E-08
 158   0.1600000E+00   0.4152922E-01  -0.1647701E-02   0.2410353E-15   0.0000000E+00   0.9035039E-08
 167   0.1600000E+00  -0.3453446E-01  -0.9650778E-02   0.6493505E-16   0.0000000E+00   0.6643284E-08
 176   0.1600000E+00  -0.2616932E-01  -0.1314537E-01   0.1137017E-15   0.0000000E+00   0.3728166E-08
 179   0.1600000E+00   0.2495859E-01  -0.3207097E-02   0.4616556E-15   0.0000000E+00   0.8907757E-08
 188   0.1600000E+00  -0.1892551E-01  -0.1600038E-01   0.4051863E-16   0.0000000E+00   0.6726536E-08
 197   0.1600000E+00   0.1616036E-01  -0.4835710E-02   0.1732834E-15   0.0000000E+00   0.3903481E-08
 200   0.1600000E+00  -0.1226321E-01  -0.1813864E-01   0.1360488E-16   0.0000000E+00   0.5717735E-08
 213   0.1600000E+00   0.1033050E-01  -0.6267683E-02   0.2399254E-16   0.0000000E+00   0.2603317E-07
 226   0.1600000E+00   0.5840427E-02  -0.7351746E-02   0.6385494E-16   0.0000000E+00   0.2609558E-07
 112   0.1800000E+00  -0.1278824E+00  -0.5606646E-03   0.8994454E-18   0.0000000E+00   0.1502154E-08
 123   0.1800000E+00   0.9899909E-01  -0.4716642E-03   0.9724679E-19   0.0000000E+00   0.3236758E-08
 138   0.1800000E+00  -0.7142763E-01  -0.2508575E-02   0.1058821E-16   0.0000000E+00   0.2375598E-08
 151   0.1800000E+00  -0.5121585E-01  -0.5900911E-02   0.7157259E-17   0.0000000E+00   0.3127383E-08
 154   0.1800000E+00   0.4665921E-01  -0.1653123E-02   0.2920112E-17   0.0000000E+00   0.3462263E-08
 163   0.1800000E+00  -0.3935602E-01  -0.9936727E-02   0.1011927E-15   0.0000000E+00   0.7139258E-08
 172   0.1800000E+00  -0.3031778E-01  -0.1371085E-01   0.1364271E-15   0.0000000E+00   0.1159682E-07
 175   0.1800000E+00   0.2811742E-01  -0.3223938E-02   0.8982914E-17   0.0000000E+00   0.1070392E-07
 184   0.1800000E+00  -0.2255353E-01  -0.1687058E-01   0.3780613E-16   0.0000000E+00   0.7277633E-08
 191   0.1800000E+00   0.1835631E-01  -0.4891474E-02   0.1289422E-15   0.0000000E+00   0.1395996E-07
 194   0.1800000E+00  -0.1545763E-01  -0.1931925E-01   0.8419614E-17   0.0000000E+00   0.3485591E-08
 204   0.1800000E+00  -0.8719858E-02  -0.2103455E-01   0.8308023E-13   0.0000000E+00   0.1776602E-08
